"Imported  new data on february 13,2020  from the  2019 EIU Democracy Index  report; by using Tabula method to extract tables from PDF and convert them into excel. and append the data in this sheet ",,,,,,,,
"Imported data on february 18,2019  from the  2018 EIU Democracy Index  report; by using Tabula method to extract tables from PDF and convert them into excel ",,,,,,,,
Data come from annual report published by  The Economist Intelligence Unit,,,,,http://www.eiu.com/Handlers/WhitepaperHandler.ashx?fi=Democracy-Index-2019.pdf&mode=wp&campaignid=democracyindex2019,,,
Country,Rank,Overall score,Electoral process and pluralism,Functioning of government,Political participation,Political culture,Civil liberties,Year
,,,Full democracies,,,,,2018
Norway,1,9.87,10.00,9.64,10.00,10.00,9.71,2018
Iceland,2,9.58,10.00,9.29,8.89,10.00,9.71,2018
Sweden,3,9.39,9.58,9.64,8.33,10.00,9.41,2018
New Zealand,4,9.26,10.00,9.29,8.89,8.13,10.00,2018
Denmark,5,9.22,10.00,9.29,8.33,9.38,9.12,2018
Canada,6=,9.15,9.58,9.64,7.78,8.75,10.00,2018
Ireland,6=,9.15,9.58,7.86,8.33,10.00,10.00,2018
Finland,8,9.14,10.00,8.93,8.33,8.75,9.71,2018
Australia,9,9.09,10.00,8.93,7.78,8.75,10.00,2018
Switzerland,10,9.03,9.58,9.29,7.78,9.38,9.12,2018
Netherlands,11,8.89,9.58,9.29,8.33,8.13,9.12,2018
Luxembourg,12,8.81,10.00,8.93,6.67,8.75,9.71,2018
Germany,13,8.68,9.58,8.57,8.33,7.50,9.41,2018
United Kingdom,14,8.53,9.58,7.50,8.33,8.13,9.12,2018
Uruguay,15,8.38,10.00,8.57,6.11,7.50,9.71,2018
Austria,16,8.29,9.58,7.86,8.33,6.88,8.82,2018
Mauritius,17,8.22,9.17,8.21,5.56,8.75,9.41,2018
Malta,18,8.21,9.17,8.21,6.11,8.75,8.82,2018
Spain,19,8.08,9.17,7.14,7.78,7.50,8.82,2018
Costa Rica,20,8.07,9.58,7.50,6.67,7.50,9.12,2018
,,,Flawed democracies,,,,,2018
South Korea,21.00,8.00,9.17,7.86,7.22,7.50,8.24,2018
Japan,22.00,7.99,8.75,8.21,6.67,7.50,8.82,2018
Chile,23=,7.97,9.58,8.57,4.44,8.13,9.12,2018
Estonia,23=,7.97,9.58,8.21,6.67,6.88,8.53,2018
United States of America,25.00,7.96,9.17,7.14,7.78,7.50,8.24,2018
Cabo Verde,26.00,7.88,9.17,7.86,6.67,6.88,8.82,2018
Portugal,27.00,7.84,9.58,7.50,6.11,6.88,9.12,2018
Botswana,28.00,7.81,9.17,7.14,6.11,7.50,9.12,2018
France,29.00,7.80,9.58,7.50,7.78,5.63,8.53,2018
Israel,30.00,7.79,9.17,7.50,8.89,7.50,5.88,2018
Belgium,31.00,7.78,9.58,8.93,5.00,6.88,8.53,2018
Taiwan,32.00,7.73,9.58,8.21,6.11,5.63,9.12,2018
Italy,33.00,7.71,9.58,6.07,7.78,6.88,8.24,2018
Czech Republic,34.00,7.69,9.58,6.79,6.67,6.88,8.53,2018
Cyprus,35.00,7.59,9.17,6.43,6.67,6.88,8.82,2018
Slovenia,36=,7.50,9.58,6.79,6.67,6.25,8.24,2018
Lithuania,36=,7.50,9.58,6.43,6.11,6.25,9.12,2018
